Number of Posts,Followers,Following,Label,follower_following_ratio
0.091603919,-0.687834066,-0.925710117,0,-0.112565748
-0.409993593,-0.894050758,-0.92266786,1,-0.609378014
-0.409993593,3.321934943,-0.505878705,0,2.953632646
-0.016849597,-0.27921951,-0.043455701,0,-0.319533013
-0.382880214,-0.878775448,-0.408526494,1,-0.610637367
-0.206643251,-0.63437048,-0.289878486,0,-0.457535733
-0.382880214,-0.451066754,0.485896949,1,-0.47653985
-0.409993593,1.08792078,-0.478498396,0,0.991048014
0.728768326,-0.023358059,-0.441991316,0,0.050364004
-0.409993593,-0.470160892,1.465503577,1,-0.537011896
-0.342210146,1.714208511,0.750573274,0,0.127155299
-0.301540077,-0.810036551,-0.989597506,0,-0.321002653
-0.369323525,-0.493073857,-0.673202818,0,-0.160465108
1.826860177,0.243959875,1.63282769,1,-0.401649477
0.33562433,-0.42433496,0.546742081,1,-0.473305479
-0.125303114,1.889874582,3.01401219,1,-0.259529875
-0.206643251,0.740407466,0.361164428,0,-0.032019878
-0.409993593,0.866428778,0.254685447,0,0.062153422
-0.247313319,1.504172992,-0.797935339,0,3.086139059
0.186500745,1.168116161,1.13998212,0,-0.131762172
-0.409993593,-0.821493033,2.919702235,1,-0.616711008
-0.409993593,-0.836768344,0.479812436,1,-0.605694038
-0.179529872,2.95532749,-0.031286674,0,1.260217051
-0.247313319,-0.901688414,-0.588019633,1,-0.627527513
-0.260870009,2.355771553,0.148206466,0,0.747000144
-0.409993593,-0.901688414,1.772771494,1,-0.627527513
2.328457689,0.285966979,-0.277709459,0,0.117232108
0.010263782,2.027352377,0.154290979,0,0.602670806
-0.206643251,-0.695471722,0.139079696,1,-0.539897465
-0.409993593,-0.687834066,-0.9409214,0,-0.075782765
4.917785386,1.729483822,-1.020020072,0,10.17224894
-0.409993593,2.764386109,-0.225991097,0,1.543271495
0.484747915,-0.477798547,-0.788808569,0,0.010427352
-0.369323525,2.87513211,-0.606273173,0,3.161886067
-0.152416493,-0.668739928,0.07215005,0,-0.523134121
-0.409993593,-0.664921101,-0.937879143,0,-0.025270922
-0.396436904,2.329039759,2.712828786,0,-0.168463728
-0.409993593,-0.63437048,-0.667118305,0,-0.325792104
-0.382880214,-0.187567647,0.665390089,0,-0.411858057
-0.409993593,0.99245009,0.263812217,0,0.106553482
-0.409993593,-0.817674206,-1.059569408,0,-0.138076527
-0.409993593,-0.897869586,-1.09303423,1,-0.593043466
0.308510951,3.062254664,0.063023281,0,1.162194513
2.55892141,2.749110798,0.011304918,0,1.093973724
-0.409993593,-0.867318965,-0.575850607,1,-0.594858416
-0.193086561,-0.684015239,-1.068696177,0,0.776465819
-0.355766835,-0.267763027,-0.59106189,0,-0.008678674
-0.315096767,-0.638189307,-0.247286893,0,-0.46783629
-0.355766835,-0.684015239,-1.004808789,0,0.174754391
0.701654947,-0.298313648,-0.804019852,0,0.320034119
-0.369323525,-0.741297653,-1.126499053,0,2.590983516
-0.409993593,-0.901688414,-0.633653482,1,-0.627527513
-0.409993593,0.709856845,-0.554554811,0,0.849860073
-0.409993593,0.201952771,-0.356808131,0,0.133227411
2.179334104,-0.664921101,-0.505878705,0,-0.426775316
-0.409993593,-0.886413103,-0.606273173,1,-0.61220127
-0.409993593,-0.561812755,0.409840534,1,-0.508108051
-0.098189735,-0.871137793,-1.041315868,0,-0.478407311
-0.409993593,-0.863500137,-0.983512992,0,-0.504370203
-0.111746424,-0.107372267,2.329504453,1,-0.502240496
0.091603919,-0.477798547,-0.916583347,0,0.35394151
-0.409993593,-0.813855378,-0.74317472,0,-0.510026316
-0.287983388,1.821135685,0.872263538,0,0.110824599
-0.193086561,1.240673885,0.488939206,0,0.088974347
-0.409993593,-0.901688414,-0.60018866,1,-0.627527513
0.864335221,-0.760391791,-0.861822728,0,-0.361712986
-0.409993593,-0.871137793,-0.852695958,1,-0.57179572
0.281397572,2.596357693,0.887474821,0,0.31397433
-0.23375663,-0.775667102,2.292997374,1,-0.607439719
-0.274426698,-0.084459301,-0.253371407,0,-0.128906837
-0.409993593,-0.72984117,0.285108013,0,-0.561913048
-0.409993593,0.053018493,0.622798496,0,-0.332287387
-0.409993593,-0.901688414,-0.861822728,1,-0.627527513
2.938508717,-0.619095169,-0.588019633,0,-0.353138324
-0.409993593,-0.855862482,-1.020020072,0,-0.439432712
-0.274426698,-0.557993927,2.192602906,1,-0.571099073
-0.409993593,-0.894050758,-0.703625384,1,-0.6182075
-0.396436904,-0.592363376,-0.767512773,0,-0.187652271
-0.382880214,0.247778702,-0.737090207,0,0.887756877
-0.396436904,-0.092096957,-0.381146184,0,-0.051888307
-0.409993593,-0.901688414,-0.800977596,1,-0.627527513
